hotel,city,room_type,season,day_of_week,is_holiday,is_weekend,occupancy,demand,booking_lead_time_days,competitor_price,room_price
City View,Mumbai,Standard,High,Wednesday,0,0,51.11,80.29,96,6552.6,7158.65
Grand Palace,Delhi,Standard,Shoulder,Monday,0,0,25.57,37.76,60,3847.37,3668.6
Sunrise Hotel,Jaipur,Standard,Peak,Monday,1,0,74.68,100.0,26,7837.2,9901.85
The Meridian,Goa,Deluxe,High,Tuesday,0,0,44.69,73.57,5,11494.28,12677.71
Lakeside Inn,Mumbai,Suite,High,Friday,1,0,54.09,68.24,7,11116.6,13767.64
Lakeside Inn,Goa,Standard,Peak,Saturday,0,1,73.0,79.93,27,8819.25,10325.12
Royal Residency,Jaipur,Standard,Low,Wednesday,0,0,26.89,30.89,96,3898.95,3017.64
Grand Palace,Jaipur,Executive,Shoulder,Thursday,0,0,44.6,44.64,30,7849.44,8983.45
Grand Palace,Bengaluru,Suite,Shoulder,Tuesday,0,0,24.0,14.74,15,8356.1,9893.57
Royal Residency,Hyderabad,Executive,Low,Wednesday,0,0,47.46,62.58,16,6925.35,7670.32
Royal Residency,Hyderabad,Suite,High,Friday,0,0,45.79,23.57,95,9670.59,11214.48
Royal Residency,Mumbai,Standard,Peak,Wednesday,0,0,56.89,73.58,28,8422.87,9512.83
The Meridian,Jaipur,Deluxe,Shoulder,Sunday,0,1,29.84,38.98,91,8393.29,8146.36
Sunrise Hotel,Bengaluru,Deluxe,Shoulder,Monday,0,0,21.77,35.18,15,5771.07,5640.0
Grand Palace,Bengaluru,Standard,Peak,Sunday,0,1,66.95,74.99,17,8980.79,10805.92
The Meridian,Goa,Deluxe,Shoulder,Monday,0,0,56.1,71.96,23,9741.84,11088.29
Royal Residency,Goa,Deluxe,Shoulder,Tuesday,0,0,23.45,29.55,48,6950.87,7169.02
Grand Palace,Bengaluru,Standard,Shoulder,Friday,0,0,45.34,57.8,56,6627.91,6054.02
The Meridian,Goa,Suite,Peak,Friday,0,0,70.9,89.25,19,15444.07,19598.96
Sunrise Hotel,Jaipur,Deluxe,High,Wednesday,0,0,26.4,30.26,21,6232.12,6793.44
The Meridian,Delhi,Executive,High,Tuesday,0,0,40.09,54.39,9,10544.65,11290.76
Sunrise Hotel,Jaipur,Standard,High,Friday,0,0,64.67,83.78,9,7129.05,7921.99
Royal Residency,Bengaluru,Standard,Shoulder,Saturday,0,1,40.73,36.59,16,5181.61,5642.92
Sunrise Hotel,Bengaluru,Deluxe,Shoulder,Saturday,0,1,55.92,71.78,86,7945.4,8616.15
Grand Palace,Jaipur,Standard,High,Sunday,0,1,63.49,72.75,15,7239.61,8429.38
Royal Residency,Goa,Deluxe,Shoulder,Monday,0,0,27.3,44.14,36,6732.42,6837.56
Grand Palace,Goa,Suite,High,Wednesday,1,0,54.57,71.97,25,13021.94,15690.89
Lakeside Inn,Hyderabad,Standard,Peak,Thursday,0,0,51.47,77.8,15,7240.02,8014.69
City View,Bengaluru,Deluxe,High,Monday,0,0,59.23,49.62,51,7280.06,8806.06
Sunrise Hotel,Mumbai,Deluxe,High,Tuesday,1,0,68.98,67.35,21,8830.8,10248.58
City View,Hyderabad,Standard,High,Friday,0,0,61.87,68.19,62,5699.32,6461.6
City View,Goa,Executive,High,Monday,0,0,75.2,65.48,64,9113.33,11614.2
Sunrise Hotel,Jaipur,Suite,Shoulder,Thursday,0,0,48.61,49.89,22,9100.06,10394.0
Royal Residency,Goa,Deluxe,Low,Thursday,1,0,33.49,42.94,57,6913.15,7182.69
Lakeside Inn,Jaipur,Deluxe,Shoulder,Saturday,0,1,56.08,63.85,57,6310.1,7080.98
Grand Palace,Hyderabad,Deluxe,High,Tuesday,1,0,73.28,72.77,27,8733.62,10934.03
The Meridian,Bengaluru,Executive,Shoulder,Monday,0,0,10.0,22.87,24,8921.01,9285.52
Grand Palace,Goa,Deluxe,High,Wednesday,0,0,33.83,55.56,42,8597.93,9612.1
The Meridian,Jaipur,Deluxe,Shoulder,Monday,0,0,30.68,32.46,109,7418.54,7446.04
Grand Palace,Bengaluru,Suite,High,Saturday,0,1,43.56,60.28,72,12229.92,14809.65
Sunrise Hotel,Mumbai,Standard,Low,Sunday,0,1,17.03,48.33,35,4127.89,3674.12
Lakeside Inn,Jaipur,Suite,High,Thursday,1,0,52.83,79.59,5,10763.09,13602.42
The Meridian,Hyderabad,Standard,Shoulder,Tuesday,0,0,26.59,36.22,33,4557.1,5168.47
Royal Residency,Mumbai,Standard,Low,Tuesday,0,0,39.97,48.15,5,4739.84,3935.31
Grand Palace,Mumbai,Standard,Shoulder,Wednesday,0,0,38.38,45.86,8,5992.78,5992.79
Grand Palace,Delhi,Executive,High,Tuesday,0,0,62.77,52.09,17,8784.49,11005.48
The Meridian,Goa,Suite,Shoulder,Saturday,0,1,39.07,50.17,36,12830.81,14705.4
Royal Residency,Jaipur,Deluxe,Low,Saturday,0,1,57.81,67.11,19,6997.76,7917.22
Royal Residency,Mumbai,Deluxe,Peak,Saturday,0,1,53.52,85.1,76,12073.03,13252.11
Sunrise Hotel,Delhi,Deluxe,High,Tuesday,0,0,57.65,70.68,33,9455.08,9891.88
Sunrise Hotel,Hyderabad,Executive,Peak,Tuesday,0,0,77.81,90.81,20,10930.89,13613.3
Sunrise Hotel,Bengaluru,Deluxe,Shoulder,Saturday,0,1,36.34,61.09,54,7659.94,8835.18
Sunrise Hotel,Jaipur,Standard,Shoulder,Tuesday,1,0,12.07,26.11,18,2675.04,2093.68
Sunrise Hotel,Mumbai,Standard,Peak,Tuesday,0,0,67.86,76.79,37,8384.25,8991.48
Sunrise Hotel,Goa,Suite,Shoulder,Thursday,0,0,24.34,36.35,3,9154.27,10234.84
Lakeside Inn,Delhi,Deluxe,High,Monday,0,0,71.42,88.34,18,7992.51,9910.14
Royal Residency,Mumbai,Standard,Shoulder,Friday,0,0,46.89,50.59,73,5178.92,5251.48
Sunrise Hotel,Goa,Standard,Shoulder,Tuesday,0,0,50.41,36.64,46,4199.18,4717.37
Royal Residency,Mumbai,Suite,Low,Friday,0,0,41.19,52.93,40,10433.6,11683.58
Royal Residency,Jaipur,Standard,Low,Sunday,0,1,63.83,56.27,51,4563.98,4143.56
City View,Jaipur,Deluxe,Low,Friday,0,0,10.0,20.95,74,5078.92,5121.1
Lakeside Inn,Jaipur,Executive,Low,Thursday,0,0,48.29,57.08,32,6011.58,7211.88
Sunrise Hotel,Hyderabad,Standard,Peak,Tuesday,0,0,51.86,67.32,22,7385.69,8163.05
Grand Palace,Hyderabad,Standard,Low,Saturday,0,1,56.08,74.89,56,6131.83,6599.87
The Meridian,Delhi,Deluxe,High,Friday,0,0,56.81,61.26,29,10206.9,11770.49
Grand Palace,Jaipur,Suite,High,Tuesday,0,0,66.04,83.15,22,12244.24,14746.27
Lakeside Inn,Goa,Deluxe,High,Wednesday,0,0,36.29,68.95,26,7998.74,9565.89
The Meridian,Mumbai,Executive,Low,Sunday,1,1,46.96,76.64,46,11214.91,11525.3
Lakeside Inn,Bengaluru,Standard,High,Saturday,0,1,61.43,66.11,6,6114.57,7027.88
Royal Residency,Goa,Deluxe,High,Wednesday,0,0,39.34,67.94,46,8697.14,9909.47
The Meridian,Hyderabad,Deluxe,High,Wednesday,0,0,39.33,38.83,13,8337.3,9748.11
Royal Residency,Hyderabad,Suite,High,Friday,0,0,51.45,61.22,19,11015.47,13163.2
Grand Palace,Goa,Standard,Peak,Wednesday,1,0,47.67,60.22,10,9469.66,10749.61
Grand Palace,Hyderabad,Suite,High,Thursday,0,0,37.72,47.0,53,10495.65,12249.15
The Meridian,Jaipur,Deluxe,Shoulder,Thursday,0,0,31.82,32.53,40,7817.81,7449.54
The Meridian,Delhi,Standard,High,Friday,0,0,47.47,72.25,13,8923.94,9429.05
Sunrise Hotel,Mumbai,Standard,Low,Tuesday,0,0,35.63,42.94,58,4375.59,4132.76
Lakeside Inn,Delhi,Suite,Peak,Monday,1,0,55.39,81.44,8,11270.04,15464.3
Sunrise Hotel,Mumbai,Standard,Low,Tuesday,0,0,36.53,42.56,25,4171.81,3680.67
Lakeside Inn,Mumbai,Standard,Shoulder,Tuesday,0,0,55.77,60.13,10,4826.99,4523.22
Sunrise Hotel,Delhi,Standard,High,Tuesday,0,0,53.37,63.06,29,5799.25,6280.52
Royal Residency,Goa,Executive,High,Tuesday,0,0,60.6,66.48,22,9890.75,11905.33
The Meridian,Mumbai,Deluxe,Shoulder,Saturday,0,1,31.55,47.02,12,8777.59,10437.26
Grand Palace,Delhi,Suite,Shoulder,Monday,0,0,49.47,61.09,33,10231.9,11363.43
Lakeside Inn,Mumbai,Standard,Peak,Saturday,1,1,79.62,100.0,14,8802.76,11586.39
Lakeside Inn,Bengaluru,Deluxe,Shoulder,Wednesday,0,0,33.44,44.48,4,4972.68,5003.41
Grand Palace,Goa,Deluxe,Peak,Sunday,0,1,53.35,74.82,8,11236.81,13335.08
Sunrise Hotel,Jaipur,Suite,Low,Tuesday,1,0,20.59,30.38,24,7159.63,8437.91
Lakeside Inn,Mumbai,Executive,High,Sunday,0,1,38.76,60.84,27,9773.28,10876.28
Royal Residency,Bengaluru,Standard,High,Thursday,0,0,10.0,32.66,17,5651.54,5254.17
The Meridian,Jaipur,Deluxe,Low,Friday,0,0,19.44,32.25,83,7088.92,7162.9
Grand Palace,Jaipur,Standard,Shoulder,Friday,0,0,47.26,50.0,42,5294.58,5400.22
The Meridian,Mumbai,Deluxe,Low,Saturday,0,1,46.86,54.29,44,8702.88,9182.63
Lakeside Inn,Delhi,Standard,High,Saturday,1,1,69.43,100.0,15,6641.22,8566.59
Lakeside Inn,Mumbai,Standard,Shoulder,Thursday,0,0,28.58,39.81,14,3262.9,3432.29
Grand Palace,Bengaluru,Standard,High,Tuesday,0,0,53.43,56.71,38,6906.57,7687.81
Royal Residency,Jaipur,Deluxe,Low,Sunday,0,1,52.82,69.88,27,6946.78,8118.73
City View,Mumbai,Standard,Low,Sunday,0,1,10.0,28.02,40,3715.72,2835.82
Grand Palace,Delhi,Deluxe,Low,Monday,0,0,42.47,24.26,26,5665.36,6253.0
City View,Mumbai,Standard,Shoulder,Wednesday,0,0,42.85,54.29,54,4405.49,4259.02
Sunrise Hotel,Goa,Standard,High,Friday,1,0,44.34,68.26,33,7022.52,7548.78
City View,Delhi,Suite,Peak,Wednesday,0,0,59.59,70.59,29,11100.9,14742.49
Royal Residency,Bengaluru,Standard,High,Monday,0,0,40.05,49.88,47,5356.28,6005.58
Sunrise Hotel,Jaipur,Standard,Shoulder,Saturday,0,1,32.44,58.36,90,5253.89,4837.58
City View,Mumbai,Deluxe,Peak,Sunday,0,1,59.72,71.69,52,10915.23,12308.85
Sunrise Hotel,Delhi,Standard,High,Friday,0,0,62.33,64.02,11,5919.37,7239.57
City View,Goa,Standard,Peak,Wednesday,0,0,44.23,56.78,28,7483.47,8270.69
Royal Residency,Delhi,Standard,Shoulder,Saturday,0,1,22.4,52.45,29,5576.93,5378.12
City View,Hyderabad,Executive,Shoulder,Monday,0,0,63.56,73.35,41,7191.63,8173.82
City View,Goa,Deluxe,Low,Wednesday,0,0,38.05,39.05,24,5966.61,5781.85
City View,Bengaluru,Deluxe,High,Sunday,0,1,52.48,71.16,33,7931.51,8950.71
Grand Palace,Jaipur,Deluxe,Low,Tuesday,0,0,28.78,42.16,35,5669.61,6599.19
Grand Palace,Bengaluru,Standard,Shoulder,Saturday,0,1,69.68,57.44,40,6378.47,6974.14
Grand Palace,Mumbai,Standard,Shoulder,Monday,0,0,35.69,51.55,11,6001.35,5962.07
Royal Residency,Delhi,Suite,High,Wednesday,0,0,43.39,66.6,12,11458.17,12957.85
Sunrise Hotel,Hyderabad,Standard,High,Sunday,0,1,63.32,76.91,108,6761.35,7116.52
Lakeside Inn,Goa,Standard,Low,Tuesday,0,0,40.57,42.47,5,3472.92,3260.22
City View,Goa,Standard,Shoulder,Tuesday,0,0,43.38,46.4,34,5098.0,5087.51
City View,Delhi,Standard,High,Monday,0,0,24.52,60.0,52,5800.21,5125.0
Royal Residency,Hyderabad,Executive,Peak,Thursday,0,0,32.45,47.63,14,9680.44,11474.32
City View,Delhi,Standard,High,Sunday,0,1,93.53,100.0,71,7134.32,8122.5
Grand Palace,Mumbai,Deluxe,Peak,Sunday,0,1,79.69,93.19,34,11869.61,14339.98
Lakeside Inn,Bengaluru,Standard,High,Friday,0,0,28.06,49.29,92,5644.54,5027.75
The Meridian,Goa,Executive,High,Monday,1,0,73.29,74.22,16,12181.12,13910.68
City View,Mumbai,Standard,Low,Tuesday,0,0,31.1,26.15,29,2582.91,2286.04
Grand Palace,Bengaluru,Standard,High,Tuesday,0,0,43.02,56.08,22,6945.61,7321.4
The Meridian,Mumbai,Deluxe,High,Monday,0,0,43.44,42.25,20,10399.16,10586.21
Lakeside Inn,Hyderabad,Deluxe,High,Thursday,1,0,77.63,70.28,21,7815.79,9138.51
The Meridian,Goa,Standard,Shoulder,Friday,0,0,10.0,22.86,26,6734.54,6136.96
Grand Palace,Delhi,Standard,Shoulder,Wednesday,0,0,46.91,50.44,24,4901.85,5499.82
Sunrise Hotel,Delhi,Standard,Shoulder,Monday,0,0,64.59,54.55,56,5113.33,3616.93
Sunrise Hotel,Bengaluru,Standard,Shoulder,Friday,0,0,33.94,33.42,53,5024.8,4436.87
The Meridian,Jaipur,Standard,Low,Sunday,0,1,39.4,57.25,8,6514.12,6317.65
Royal Residency,Hyderabad,Deluxe,High,Friday,0,0,43.95,50.68,21,7253.33,8697.62
The Meridian,Bengaluru,Standard,Low,Saturday,0,1,64.67,62.16,43,7052.9,7308.92
City View,Jaipur,Standard,Low,Tuesday,0,0,18.84,35.36,40,2145.48,1549.23
City View,Mumbai,Deluxe,Shoulder,Wednesday,0,0,45.66,56.05,28,7427.16,7493.37
Sunrise Hotel,Hyderabad,Executive,High,Monday,0,0,28.43,37.64,33,6880.81,8946.24
Royal Residency,Mumbai,Deluxe,Shoulder,Tuesday,0,0,19.05,30.93,25,7194.2,6776.69
Grand Palace,Goa,Standard,Shoulder,Saturday,0,1,34.79,39.48,59,6584.19,6707.72
City View,Hyderabad,Standard,High,Saturday,0,1,61.19,75.85,55,6165.68,7486.25
Sunrise Hotel,Jaipur,Executive,Shoulder,Tuesday,0,0,49.71,52.77,26,7291.05,8297.28
Lakeside Inn,Goa,Standard,Peak,Thursday,1,0,81.05,84.93,31,8505.78,9877.63
Sunrise Hotel,Delhi,Standard,Peak,Friday,0,0,41.29,65.87,26,7185.8,8583.05
City View,Jaipur,Deluxe,Shoulder,Monday,0,0,10.0,5.87,30,3844.05,3601.29
City View,Bengaluru,Deluxe,Shoulder,Monday,0,0,36.81,45.54,65,6262.97,5851.5
Sunrise Hotel,Delhi,Deluxe,High,Monday,0,0,62.74,74.03,24,7756.69,9549.23
Grand Palace,Delhi,Standard,Low,Tuesday,0,0,67.52,82.53,20,6544.33,5427.37
The Meridian,Bengaluru,Standard,Shoulder,Sunday,0,1,30.42,49.06,31,6581.89,6889.18
City View,Hyderabad,Executive,Shoulder,Thursday,0,0,43.81,35.69,26,5469.08,6064.98
Sunrise Hotel,Delhi,Standard,Peak,Wednesday,0,0,82.34,77.48,18,7682.27,9190.94
Sunrise Hotel,Jaipur,Deluxe,Low,Saturday,0,1,47.63,51.41,50,5492.19,6826.46
Royal Residency,Goa,Deluxe,High,Tuesday,0,0,72.28,80.86,54,9686.13,10698.84
The Meridian,Delhi,Deluxe,High,Sunday,0,1,51.89,61.69,36,10161.3,11602.02
Lakeside Inn,Jaipur,Standard,Shoulder,Wednesday,0,0,43.74,41.52,19,2561.55,2632.92
Grand Palace,Mumbai,Standard,Low,Saturday,0,1,30.73,67.27,60,7649.75,6831.68
Lakeside Inn,Jaipur,Deluxe,Peak,Saturday,0,1,71.56,87.32,12,9604.31,11993.57
The Meridian,Goa,Suite,Shoulder,Thursday,0,0,44.5,61.26,2,12782.96,14196.05
The Meridian,Jaipur,Executive,High,Friday,0,0,48.11,56.89,28,11359.01,12295.25
The Meridian,Bengaluru,Standard,Low,Monday,0,0,62.33,62.69,106,7236.46,6320.2
Lakeside Inn,Goa,Standard,Shoulder,Wednesday,0,0,17.99,21.71,36,2865.48,2708.71
The Meridian,Hyderabad,Executive,Shoulder,Tuesday,0,0,14.65,22.27,25,7288.47,7928.91
Sunrise Hotel,Mumbai,Deluxe,Low,Wednesday,0,0,37.55,62.91,44,7427.54,6982.91
Lakeside Inn,Bengaluru,Executive,Low,Friday,1,0,42.45,53.1,44,6770.11,8274.02
The Meridian,Hyderabad,Standard,High,Monday,0,0,68.95,75.89,70,8363.04,8832.95
Sunrise Hotel,Jaipur,Deluxe,Low,Wednesday,0,0,29.63,46.39,17,5113.76,5343.89
Royal Residency,Goa,Deluxe,Low,Friday,0,0,16.79,44.9,45,7081.76,7299.79
The Meridian,Mumbai,Deluxe,Shoulder,Tuesday,0,0,44.4,26.41,31,8411.79,8572.18
Lakeside Inn,Bengaluru,Standard,High,Thursday,0,0,54.7,62.62,34,4692.15,5798.24
City View,Hyderabad,Standard,Low,Sunday,0,1,58.52,74.06,30,4706.99,4911.37
The Meridian,Hyderabad,Deluxe,High,Saturday,0,1,74.42,73.79,30,11396.86,13372.75
City View,Mumbai,Standard,Low,Tuesday,0,0,46.15,54.55,8,4543.68,4341.1
Sunrise Hotel,Jaipur,Deluxe,Low,Monday,0,0,57.73,54.16,23,5313.52,5130.09
Royal Residency,Mumbai,Executive,Low,Saturday,0,1,45.94,40.82,31,8077.58,8732.2
Grand Palace,Hyderabad,Standard,High,Sunday,0,1,56.95,85.0,41,8453.56,8587.04
Royal Residency,Delhi,Suite,Low,Tuesday,0,0,37.9,40.61,34,8483.14,9315.95
The Meridian,Bengaluru,Standard,Low,Tuesday,0,0,51.17,41.36,33,6537.6,5444.26
City View,Mumbai,Deluxe,Shoulder,Tuesday,0,0,51.0,74.37,48,6418.66,7769.91
City View,Hyderabad,Executive,High,Tuesday,0,0,48.65,71.36,78,8905.7,10061.18
Lakeside Inn,Jaipur,Standard,Shoulder,Saturday,0,1,29.6,46.06,28,3497.06,3483.96
City View,Hyderabad,Standard,Shoulder,Monday,0,0,46.55,45.9,17,3523.81,3252.31
Lakeside Inn,Jaipur,Standard,Low,Sunday,0,1,48.36,55.51,59,3862.15,3030.94
Sunrise Hotel,Mumbai,Standard,Shoulder,Friday,0,0,36.9,68.61,45,5600.13,5583.98
Grand Palace,Jaipur,Deluxe,High,Wednesday,0,0,55.52,63.55,26,9426.36,10608.71
The Meridian,Goa,Executive,High,Thursday,0,0,74.49,93.91,4,13534.47,14811.52
Lakeside Inn,Goa,Standard,Shoulder,Sunday,0,1,29.09,36.85,60,4550.25,4340.55
Grand Palace,Goa,Standard,Shoulder,Wednesday,0,0,28.16,44.55,16,5589.73,6134.5
City View,Delhi,Standard,Low,Wednesday,0,0,31.63,34.32,28,2770.32,2553.64
City View,Mumbai,Deluxe,Shoulder,Thursday,1,0,48.28,46.07,26,6201.26,6827.51
Grand Palace,Hyderabad,Standard,Low,Sunday,0,1,33.25,48.38,62,4338.63,3863.02
City View,Hyderabad,Deluxe,High,Saturday,1,1,41.43,71.04,39,8828.65,10452.65
Sunrise Hotel,Delhi,Deluxe,Peak,Monday,1,0,78.97,100.0,12,9968.04,12521.24
Sunrise Hotel,Jaipur,Deluxe,Peak,Thursday,0,0,83.75,92.92,127,9823.06,11732.72
Grand Palace,Delhi,Standard,Peak,Monday,0,0,60.27,78.64,47,8546.03,9579.95
Lakeside Inn,Jaipur,Deluxe,High,Saturday,0,1,39.44,66.36,19,7476.19,8463.9
Lakeside Inn,Jaipur,Standard,High,Wednesday,0,0,51.45,53.43,75,4758.92,4807.55
Grand Palace,Bengaluru,Standard,Shoulder,Monday,0,0,59.57,55.39,32,5208.28,4933.16
Lakeside Inn,Hyderabad,Executive,High,Saturday,1,1,70.07,85.2,29,9790.32,12320.67
Lakeside Inn,Goa,Deluxe,Shoulder,Saturday,0,1,27.38,52.97,30,6835.86,7237.4
Sunrise Hotel,Jaipur,Standard,Shoulder,Friday,0,0,39.93,52.58,32,4577.35,4482.01
Lakeside Inn,Bengaluru,Standard,High,Thursday,0,0,63.4,75.47,31,5203.66,6068.24
Royal Residency,Hyderabad,Standard,Shoulder,Friday,0,0,27.03,42.84,29,5231.77,4725.59
The Meridian,Goa,Standard,Shoulder,Wednesday,0,0,33.7,33.98,22,7435.83,6938.82
City View,Jaipur,Standard,Peak,Thursday,0,0,35.62,54.5,18,6779.8,7428.67
Royal Residency,Jaipur,Standard,Low,Wednesday,0,0,40.03,48.51,36,3924.5,3074.7
Lakeside Inn,Delhi,Deluxe,Shoulder,Friday,0,0,59.5,75.34,18,6570.69,7456.7
Sunrise Hotel,Delhi,Deluxe,Peak,Sunday,0,1,61.47,67.45,40,8757.77,11997.63
Grand Palace,Hyderabad,Deluxe,High,Saturday,0,1,72.34,88.39,72,9634.11,12087.89
Lakeside Inn,Goa,Deluxe,Shoulder,Wednesday,0,0,27.18,35.54,32,6031.7,5933.53
Sunrise Hotel,Jaipur,Standard,Low,Thursday,0,0,23.43,38.36,37,3111.38,2119.28
The Meridian,Hyderabad,Executive,Shoulder,Thursday,0,0,47.75,57.81,62,8861.66,9643.48
Lakeside Inn,Hyderabad,Suite,Peak,Wednesday,0,0,54.33,69.43,28,10347.52,14021.82
Grand Palace,Mumbai,Suite,High,Thursday,0,0,45.8,66.48,21,12562.36,14421.58
Sunrise Hotel,Delhi,Suite,Shoulder,Saturday,0,1,49.32,58.21,3,10180.54,12498.12
Sunrise Hotel,Goa,Executive,Low,Sunday,0,1,41.0,45.56,35,7004.5,8473.56
Sunrise Hotel,Jaipur,Deluxe,Low,Saturday,0,1,51.99,67.53,21,6782.03,8048.07
The Meridian,Hyderabad,Standard,Peak,Thursday,0,0,68.47,72.14,26,9849.37,11342.43
Lakeside Inn,Jaipur,Deluxe,Shoulder,Wednesday,0,0,23.6,25.56,4,3881.98,4142.96
The Meridian,Mumbai,Deluxe,High,Friday,0,0,28.58,50.51,26,11175.56,11809.6
City View,Goa,Deluxe,Low,Thursday,0,0,17.47,5.0,13,4569.86,4507.1
City View,Hyderabad,Deluxe,High,Thursday,0,0,59.93,63.73,11,6607.89,8385.74
Lakeside Inn,Jaipur,Standard,Peak,Thursday,1,0,91.41,99.26,14,7436.4,8997.56
The Meridian,Delhi,Standard,High,Thursday,0,0,43.64,48.34,13,8257.48,7487.26
Grand Palace,Mumbai,Executive,Low,Wednesday,0,0,20.24,53.2,56,8156.46,8710.88
Sunrise Hotel,Goa,Deluxe,High,Friday,0,0,67.53,69.03,65,8894.88,10654.87
Sunrise Hotel,Mumbai,Deluxe,High,Friday,0,0,43.64,52.47,35,8769.27,10135.07
Lakeside Inn,Delhi,Standard,Shoulder,Monday,0,0,58.07,66.51,91,3994.18,3566.4
City View,Goa,Standard,Peak,Thursday,0,0,62.13,69.18,25,8170.08,9383.76
City View,Mumbai,Executive,High,Thursday,0,0,94.1,91.14,16,10354.74,13042.84
Sunrise Hotel,Bengaluru,Deluxe,Peak,Monday,0,0,35.62,50.1,31,8292.26,10373.12
Lakeside Inn,Delhi,Suite,High,Friday,1,0,49.93,67.23,15,9933.11,12767.53
The Meridian,Delhi,Deluxe,Low,Tuesday,0,0,26.66,42.9,33,7728.76,7124.25
City View,Delhi,Deluxe,Shoulder,Saturday,0,1,33.93,54.43,49,6220.22,7495.14
The Meridian,Bengaluru,Standard,Low,Tuesday,0,0,34.61,55.03,14,6952.71,5838.54
City View,Bengaluru,Deluxe,Peak,Friday,0,0,63.48,100.0,79,11203.22,12736.4
City View,Jaipur,Standard,High,Sunday,0,1,69.35,79.37,110,5763.13,6545.14
Royal Residency,Hyderabad,Standard,High,Thursday,0,0,71.82,63.34,97,6930.99,6872.97
City View,Mumbai,Deluxe,Shoulder,Tuesday,0,0,44.83,29.65,6,5706.35,6481.99
Grand Palace,Jaipur,Executive,Low,Wednesday,0,0,10.0,18.54,22,6822.0,6066.28
Lakeside Inn,Mumbai,Standard,High,Wednesday,0,0,62.37,79.38,39,6388.47,6988.95
Lakeside Inn,Hyderabad,Suite,Shoulder,Monday,0,0,42.96,37.35,10,7177.34,8934.83
The Meridian,Bengaluru,Standard,Low,Friday,0,0,71.12,81.46,11,7574.38,7792.99
City View,Hyderabad,Standard,High,Friday,0,0,62.97,75.15,5,5278.11,7402.09
Grand Palace,Bengaluru,Standard,Low,Tuesday,0,0,38.25,49.78,33,5259.56,4732.35
The Meridian,Hyderabad,Standard,Shoulder,Thursday,0,0,53.21,50.52,40,6099.93,6042.59
Royal Residency,Jaipur,Deluxe,Shoulder,Friday,0,0,30.81,50.66,63,7154.87,7227.78
The Meridian,Goa,Standard,Low,Tuesday,0,0,33.74,35.28,45,7087.94,6216.49
The Meridian,Jaipur,Deluxe,Peak,Tuesday,0,0,43.2,48.48,50,10136.86,11759.25
City View,Mumbai,Executive,Low,Saturday,0,1,39.21,47.29,7,7318.69,9011.93
Royal Residency,Jaipur,Standard,Low,Saturday,0,1,52.77,54.74,38,5319.51,5264.93
The Meridian,Delhi,Suite,Low,Friday,0,0,29.8,35.93,30,10197.17,11763.08
Grand Palace,Mumbai,Standard,High,Tuesday,0,0,31.55,44.99,19,7467.58,7243.08
Grand Palace,Hyderabad,Deluxe,Shoulder,Monday,0,0,29.24,34.53,24,5947.34,7417.64
Lakeside Inn,Mumbai,Standard,High,Monday,0,0,47.63,77.5,41,6809.7,6359.92
Royal Residency,Goa,Standard,Low,Saturday,0,1,59.82,65.47,52,6304.03,6106.36
Royal Residency,Bengaluru,Standard,Low,Friday,0,0,47.55,47.4,101,4857.6,4242.82
Lakeside Inn,Hyderabad,Standard,Shoulder,Thursday,0,0,37.07,53.22,42,3954.69,3815.11
The Meridian,Mumbai,Standard,High,Sunday,0,1,37.92,57.15,55,9130.53,8344.41
Royal Residency,Hyderabad,Deluxe,Peak,Monday,0,0,44.53,61.86,54,9597.04,10105.39
Grand Palace,Hyderabad,Executive,Low,Monday,0,0,39.84,49.35,65,6622.2,7332.84
Grand Palace,Hyderabad,Suite,Shoulder,Saturday,0,1,35.73,40.94,13,9899.55,12614.5
City View,Bengaluru,Deluxe,Peak,Saturday,0,1,85.46,84.52,33,10436.57,13108.78
Royal Residency,Jaipur,Standard,Shoulder,Friday,0,0,37.3,27.32,15,3761.88,3402.45
The Meridian,Hyderabad,Standard,High,Saturday,0,1,49.24,49.91,16,8733.54,9495.87
Lakeside Inn,Delhi,Standard,Low,Wednesday,0,0,46.56,55.31,43,2855.17,3114.99
Lakeside Inn,Goa,Standard,Peak,Sunday,0,1,70.58,97.38,44,8564.69,9994.06
The Meridian,Bengaluru,Deluxe,High,Tuesday,0,0,61.21,54.17,42,10119.1,11292.02
Sunrise Hotel,Mumbai,Deluxe,Peak,Monday,1,0,46.49,59.71,21,8969.52,11150.45
City View,Bengaluru,Standard,High,Wednesday,0,0,29.12,32.08,34,4224.37,4620.94
Lakeside Inn,Mumbai,Standard,Shoulder,Thursday,0,0,64.32,70.79,26,5156.3,5065.05
Royal Residency,Bengaluru,Suite,Peak,Wednesday,0,0,61.75,74.56,42,13264.3,16138.51
City View,Mumbai,Suite,Shoulder,Friday,0,0,41.43,36.49,64,9199.84,11108.77
Royal Residency,Hyderabad,Standard,Shoulder,Thursday,0,0,37.28,39.91,15,3519.55,3894.25
Grand Palace,Jaipur,Executive,High,Thursday,0,0,39.58,36.21,32,8925.69,9537.45
City View,Mumbai,Executive,High,Saturday,0,1,71.45,81.68,55,10242.08,12114.96
Lakeside Inn,Mumbai,Standard,Peak,Wednesday,0,0,81.62,100.0,8,8854.34,9955.73
City View,Delhi,Standard,Low,Friday,1,0,35.22,42.04,59,3450.6,3365.91
